Time,S21_dB,Phase_Deg,S21_Gauss_SavGol,Phase_Gauss_SavGol,Background_dB,Background_Phase,Anomaly,OBJ,Height
3.54129,0.0162084,-2462.65,0.00270313,-2353.4,0.0142041,-908.208,0,NO,1.25
3.55535,0.038029,-2404.15,0.00349078,-2299.24,0.0141548,-914.618,0,NO,1.25
3.5694,-0.0274047,-2232.76,0.00411493,-2236.86,0.0141087,-920.684,0,NO,1.25
3.58381,-0.00593963,-2246.14,0.00452044,-2166.95,0.0140649,-926.374,0,NO,1.25
3.59832,0.0248211,-2102.26,0.00471675,-2091.16,0.0140224,-931.669,0,NO,1.25
3.61271,0.0167882,-1929.59,0.00481165,-2011.71,0.0139808,-936.556,0,NO,1.25
3.62677,-0.0249622,-1849.8,0.00493117,-1930.8,0.01394,-941.034,0,NO,1.25
3.64094,0.0190211,-1876.89,0.00512627,-1850.29,0.0139005,-945.112,0,NO,1.25
3.65509,0.0280455,-1768.54,0.00537487,-1772.08,0.0138624,-948.804,0,NO,1.25
3.6695,-0.0344292,-1651.6,0.00564383,-1698.67,0.0138259,-952.136,0,NO,1.25
3.68411,0.00231958,-1669.09,0.00593444,-1633.15,0.013791,-955.15,0,NO,1.25
3.69835,0.0331932,-1615.73,0.00626612,-1578.24,0.0137578,-957.895,0,NO,1.25
3.71274,-0.00982098,-1481.07,0.00662261,-1535.31,0.0137265,-960.427,0,NO,1.25
3.7263,-0.00527499,-1349.24,0.00693949,-1503.94,0.0136969,-962.8,0,NO,1.25
3.7402,0.0364025,-1466.68,0.00715956,-1482.26,0.0136685,-965.059,0,NO,1.25
3.75551,0.0288745,-1486.53,0.00728359,-1467.7,0.0136408,-967.235,0,NO,1.25
3.76964,-0.027259,-1313.04,0.00734237,-1458.04,0.0136137,-969.35,0,NO,1.25
3.78361,-0.000730513,-1407.01,0.00734147,-1452.08,0.0135868,-971.422,0,NO,1.25
3.79804,0.0267238,-1410.54,0.00725454,-1449.51,0.0135597,-973.465,0,NO,1.25
3.81205,0.0132233,-1494.98,0.00706214,-1450.15,0.013532,-975.494,0,NO,1.25
3.82618,-0.020919,-1658.74,0.00676842,-1453.29,0.0135034,-977.518,0,NO,1.25
3.84051,0.017939,-1513.69,0.00637523,-1457.8,0.0134733,-979.545,0,NO,1.25
3.85475,0.0407833,-1495.86,0.0058651,-1462.65,0.0134413,-981.575,0,NO,1.25
3.86856,-0.038615,-1561.64,0.00523811,-1467.52,0.013407,-983.608,0,NO,1.25
3.88274,-0.00396392,-1381.75,0.00453182,-1472.89,0.01337,-985.647,1,NO,1.25
3.89731,0.0301933,-1393.24,0.00377945,-1479.7,0.0132864,-993.667,1,NO,1.25
3.91194,0.0176723,-1405.96,0.0030014,-1489.23,0.0131993,-1001.69,1,NO,1.25
3.92687,-0.0283995,-1490.68,0.00228062,-1503.16,0.0131091,-1009.77,1,NO,1.25
3.9428,0.00940626,-1533.87,0.00179475,-1523.47,0.0130174,-1017.94,1,NO,1.25
3.95701,0.039118,-1594.77,0.00171275,-1551.89,0.0129267,-1026.24,1,NO,1.25
3.97189,-0.0329024,-1417.38,0.00207443,-1588.93,0.0128396,-1034.72,1,NO,1.25
3.98693,0.0213889,-1567.45,0.00278493,-1633.3,0.0127579,-1043.4,1,NO,1.25
4.00115,-0.0376985,-1693.64,0.00370847,-1682.12,0.0126826,-1052.31,1,NO,1.25
4.01491,0.0151981,-1793.66,0.00477223,-1731.97,0.0126143,-1061.45,1,NO,1.25
4.03079,0.0150763,-1703.86,0.00598707,-1780.02,0.012554,-1070.8,1,NO,1.25
4.04679,-0.0181184,-1861.68,0.00738018,-1824.87,0.0125027,-1080.34,1,NO,1.25
4.06097,0.0125532,-1975.14,0.0089432,-1866.64,0.0124622,-1090.05,1,NO,1.25
4.07497,0.0494767,-1980.7,0.0106863,-1906.48,0.0124345,-1099.91,1,NO,1.25
4.08911,-0.0158645,-2084.25,0.0126576,-1945.53,0.0124218,-1109.89,1,NO,1.25
4.1034,0.0430647,-1988.62,0.0147975,-1984.4,0.0124259,-1119.99,1,NO,1.25
4.11743,0.0243267,-2076.96,0.0167891,-2023.35,0.0124469,-1130.17,1,NO,1.25
4.13137,-0.0186876,-1951.41,0.0181911,-2063.01,0.0124824,-1140.41,1,NO,1.25
4.14579,0.0155875,-1963.89,0.0187849,-2104.47,0.0125294,-1150.69,1,NO,1.25
4.16045,0.0421045,-2064.06,0.0187499,-2148.73,0.0125852,-1161,1,NO,1.25
4.17452,0.0369843,-2113.45,0.0184638,-2196.03,0.0126487,-1171.33,1,NO,1.25
4.1886,-0.0170396,-2196.76,0.0181681,-2245.79,0.0127193,-1181.7,1,NO,1.25
4.20234,0.0144612,-2328.16,0.0178579,-2297.28,0.0127957,-1192.12,1,NO,1.25
